State Abbr,Region,Meeting Type,Document Type,URL
AZ,sedona,citycountycouncil,agenda,http://kepler62f.sedonaaz.gov:600/DocCentral/folder.aspx?CC=1&tf=97
AZ,youngtown,citycountycouncil,agenda,http://youngtownaz.hosted.civiclive.com//cms/One.aspx?pageId=13406575&portalId=12609077&objectId.259675=13424223&contextId.259675=13406577&parentId.259675=13406578
CA,pleasanton,citycountycouncil,agenda,http://weblink.cityofpleasantonca.gov/weblink/Browse.aspx?startid=81&dbid=0
KS,lyons,citycountycouncil,agenda, http://lyonsks.org/DocumentCenter/
CA,plymouth,citycountycouncil,agenda,http://www.cityofplymouth.org/doc-forms.html
CO,aurora,citycountycouncil,agenda,https://www.auroragov.org/cms/One.aspx?pageId=2023287&portalId=1881221&objectId.60273=15063358&contextId.60273=3421476&parentId.60273=3421478
NE,casscounty,countycouncil,agenda,http://173.190.246.54/meet2.php?OrgID=4&cmbtype=3
NV,ely,citycouncil,agenda,http://www.elycity.com/meetings/city-council-meetings
NV,clarkcounty,countycouncil,agenda,http://clark.granicus.com/ViewPublisher.php?view_id=17
CA,bradbury,citycouncil,agenda,http://www.cityofbradbury.org/city-hall/city-council/agendas-minutes
CA,alhambra,citycouncil,agenda, https://www.cityofalhambra.org/city-meetings
CA,californiacoastalcommission,citycountycouncil,agenda,https://www.coastal.ca.gov/meetings/agenda
LA,jeffersonparish,citycouncil,agenda,http://jp-appserver.jeffparish.net/agendadisplay/
KS,mcpherson,citycouncil,agenda,https://www.boarddocs.com/ks/comks/Board.nsf/Public
GA,maconbibb,countycouncil,agenda,https://www.boarddocs.com/ga/maconbibb/Board.nsf/Public
FL,maryesther,citycouncil,agenda,http://cityofmaryesther.com/DocumentCenter/Index/153
CA,missionviejo,citycouncil,agenda,http://missionviejo.granicus.com/ViewPublisher.php?view_id=12
